Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10nF","SMD-0805",14.2240,26.4160,90.0000,bottom
"C2","100nF","SMD-0805",17.2720,25.4000,0.0000,bottom
"C3","10uF","SMD-0805",12.1920,15.7480,0.0000,bottom
"D1","BZV55C","Diode-MiniMELF_Standard",8.6360,17.7800,-90.0000,bottom
"R1","R","SMD-0805",8.1280,24.4475,-90.0000,bottom
"R2","R","SMD-0805",8.0645,21.3360,0.0000,bottom
"X1","ASFL1, ASFLK","ASFL1",14.2240,20.8280,180.0000,bottom
"X2","CFPS-72,CFPS-73","CFPS-72,73",14.2240,20.8280,180.0000,bottom
"X3","ISM92","ISM92",14.2240,20.8280,180.0000,bottom
"X4","ISM97","ISM97",14.2240,20.8280,180.0000,bottom
"X6","I533_I534_I733_I734_Series","I533_1534_1733_1734",14.2240,20.8280,180.0000,bottom
"X7","ISM81","ISM81",14.2240,20.8280,180.0000,bottom
"X8","ISM95","ISM95",14.2240,20.8280,180.0000,bottom
